tconst,film,year_film,runtimeMinutes,genres,winner
tt0019304,theracket,1927,84,"Crime,Drama,Film-Noir",False
tt0018379,7thheaven,1927,110,"Drama,Romance",False
tt0018578,wings,1927,144,"Action,Drama,Romance",True
tt0019630,alibi,1928,91,"Action,Crime,Romance",False
tt0020018,inoldarizona,1928,95,"Drama,Western",False
tt0019729,thebroadwaymelody,1928,100,"Drama,Musical,Romance",True
tt0019257,thepatriot,1928,113,"Drama,History,Thriller",False
tt0020629,allquietonthewesternfront,1929,152,"Drama,War",True
tt0020686,thebighouse,1929,87,"Crime,Drama,Thriller",False
tt0019823,disraeli,1929,90,"Biography,Drama,History",False
tt0020827,thedivorcee,1929,84,"Drama,Romance",False
tt0020112,theloveparade,1929,107,"Comedy,Musical,Romance",False
tt0021746,cimarron,1930,123,"Drama,Western",True
tt0021826,eastlynne,1930,102,"Drama,Romance",False
tt0021890,thefrontpage,1930,101,"Comedy,Crime,Drama",False
tt0022397,skippy,1930,85,"Comedy,Drama,Family",False
tt0022495,traderhorn,1930,122,"Action,Adventure,Drama",False
tt0021622,arrowsmith,1931,108,Drama,False
tt0021635,badgirl,1931,90,"Drama,Romance",False
tt0021730,thechamp,1931,86,"Drama,Family,Sport",False
tt0021873,fivestarfinal,1931,89,"Crime,Drama",False
tt0022958,grandhotel,1931,112,"Drama,Romance",True
tt0023303,onehourwithyou,1931,78,"Comedy,Musical,Romance",False
tt0023458,shanghaiexpress,1931,82,"Adventure,Drama,Film-Noir",False
tt0022074,thesmilinglieutenant,1931,93,"Comedy,Musical,Romance",False
tt0023876,cavalcade,1932,112,"Drama,Romance,War",True
tt0022879,afarewelltoarms,1932,80,"Drama,Romance,War",False
tt0024034,42ndstreet,1932,89,"Comedy,Drama,Musical",False
tt0023042,iamafugitivefromachaingang,1932,92,"Crime,Drama,Film-Noir",False
tt0024240,ladyforaday,1932,96,"Comedy,Drama",False
tt0024264,littlewomen,1932,115,"Drama,Family,Romance",False
tt0024473,theprivatelifeofhenryviii,1932,97,"Biography,Drama,History",False
tt0024548,shedonehimwrong,1932,66,"Comedy,Drama,History",False
tt0023488,smilinthrough,1932,98,"Drama,Romance",False
tt0024610,statefair,1932,99,"Comedy,Drama,Romance",False
tt0024865,thebarrettsofwimpolestreet,1934,109,"Biography,Drama,Romance",False
tt0024991,cleopatra,1934,100,"Biography,Drama,History",False
tt0025124,flirtationwalk,1934,97,Musical,False
tt0025164,thegaydivorcee,1934,107,"Comedy,Musical,Romance",False
tt0025238,herecomesthenavy,1934,87,"Comedy,Drama,Romance",False
tt0025272,thehouseofrothschild,1934,88,"Biography,Drama,History",False
tt0025301,imitationoflife,1934,111,"Comedy,Drama,Romance",False
tt0025316,ithappenedonenight,1934,105,"Comedy,Romance",True
tt0025601,onenightoflove,1934,84,"Comedy,Music,Romance",False
tt0025878,thethinman,1934,91,"Comedy,Crime,Mystery",False
tt0025948,vivavilla,1934,115,"Biography,Western",False
tt0025986,thewhiteparade,1934,80,Drama,False
tt0026056,aliceadams,1935,99,"Comedy,Drama,Romance",False
tt0026144,broadwaymelodyof1936,1935,101,"Comedy,Musical,Romance",False
tt0026174,captainblood,1935,119,"Action,Adventure,History",False
tt0026266,davidcopperfield,1935,130,"Adventure,Drama,Family",False
tt0026529,theinformer,1935,91,"Crime,Drama",False
tt0026643,thelivesofabengallancer,1935,109,"Adventure,Drama,War",False
tt0026714,amidsummernightsdream,1935,133,"Comedy,Fantasy,Romance",False
tt0026752,mutinyonthebounty,1935,132,"Adventure,Biography,Drama",True
tt0026768,naughtymarietta,1935,105,"Drama,Musical,Romance",False
tt0026955,rugglesofredgap,1935,90,"Comedy,Mystery,Romance",False
tt0027125,tophat,1935,101,"Comedy,Musical,Romance",False
tt0027300,anthonyadverse,1936,141,"Adventure,Drama,Romance",False
tt0027532,dodsworth,1936,101,"Drama,Romance",False
tt0027698,thegreatziegfeld,1936,176,"Drama,Musical",True
tt0027884,libeledlady,1936,98,"Comedy,Romance",False
tt0027996,mrdeedsgoestotown,1936,115,"Comedy,Drama,Romance",False
tt0028203,romeoandjuliet,1936,125,"Drama,Romance",False
tt0028216,sanfrancisco,1936,115,"Drama,Music,Romance",False
tt0028313,thestoryoflouispasteur,1936,86,"Biography,Drama,History",False
tt0027075,ataleoftwocities,1936,128,"Drama,History,Romance",False
tt0028373,threesmartgirls,1936,84,"Comedy,Musical,Romance",False
tt0028597,theawfultruth,1937,90,"Comedy,Romance",False
tt0028691,captainscourageous,1937,117,"Adventure,Drama,Family",False
tt0028773,deadend,1937,93,"Crime,Drama,Film-Noir",False
tt0028944,thegoodearth,1937,138,"Drama,Romance",False
tt0029047,inoldchicago,1937,95,"Action,Drama,Musical",False
tt0029146,thelifeofemilezola,1937,116,"Biography,Drama",True
tt0029162,losthorizon,1937,132,"Adventure,Drama,Fantasy",False
tt0029347,onehundredmenandagirl,1937,84,"Comedy,Drama,Music",False
tt0029604,stagedoor,1937,92,"Comedy,Drama,Romance",False
tt0029606,astarisborn,1937,111,"Drama,Romance",False
tt0029843,theadventuresofrobinhood,1938,102,"Action,Adventure,Romance",False
tt0029852,alexandersragtimeband,1938,106,"Drama,Music,Musical",False
tt0029942,boystown,1938,96,"Biography,Drama,Family",False
tt0029995,thecitadel,1938,110,Drama,False
tt0030149,fourdaughters,1938,90,"Drama,Music,Romance",False
tt0030287,jezebel,1938,104,"Drama,Romance",False
