tconst,film,year_film,genres,averageRating,dir_won_before,budget,nb_actor_won_before,won_bafta,won_gg_drama,won_gg_comedy,winner,runtimeMinutes
tt0018379,7thheaven,1927,"Drama,Romance",7.5,0,14.508658238524095,0,0,0,0,0,110
tt0018578,wings,1927,"Action,Drama,Romance",7.5,0,14.508658238524095,0,0,0,0,1,144
tt0019257,thepatriot,1928,"Drama,History,Thriller",,0,14.285514812209815,2,0,0,0,0,113
tt0019304,theracket,1927,"Crime,Drama,Film-Noir",6.6,0,14.508658238524095,0,0,0,0,0,84
tt0019630,alibi,1928,"Action,Crime,Romance",5.6,0,14.285514812209815,0,0,0,0,0,91
tt0019729,thebroadwaymelody,1928,"Drama,Musical,Romance",5.5,0,14.285514812209815,0,0,0,0,1,100
tt0019823,disraeli,1929,"Biography,Drama,History",6.1,0,13.997832948091215,0,0,0,0,0,90
tt0019993,hollywoodrevue,1928,"Comedy,Music",5.7,0,14.285514812209815,0,0,0,0,0,130
tt0020018,inoldarizona,1928,"Drama,Western",5.5,0,14.285514812209815,0,0,0,0,0,95
tt0020112,theloveparade,1929,"Comedy,Musical,Romance",7.0,0,13.997832948091215,0,0,0,0,0,107
tt0020629,allquietonthewesternfront,1929,"Drama,War",8.1,1,13.997832948091215,0,0,0,0,1,152
tt0020686,thebighouse,1929,"Crime,Drama,Thriller",7.1,0,13.997832948091215,0,0,0,0,0,87
tt0020827,thedivorcee,1929,"Drama,Romance",6.7,0,13.997832948091215,0,0,0,0,0,84
tt0021622,arrowsmith,1931,Drama,6.2,0,13.176847143486714,0,0,0,0,0,108
tt0021635,badgirl,1931,"Drama,Romance",6.4,1,13.176847143486714,0,0,0,0,0,90
tt0021730,thechamp,1931,"Drama,Family,Sport",7.2,0,13.176847143486714,0,0,0,0,0,86
tt0021746,cimarron,1930,"Drama,Western",5.8,0,13.534474352733596,0,0,0,0,1,123
tt0021826,eastlynne,1930,"Drama,Romance",5.7,1,13.534474352733596,0,0,0,0,0,102
tt0021873,fivestarfinal,1931,"Crime,Drama",7.3,0,12.644330802262578,0,0,0,0,0,89
tt0021890,thefrontpage,1930,"Comedy,Crime,Drama",6.7,1,13.534474352733596,0,0,0,0,0,101
tt0022074,thesmilinglieutenant,1931,"Comedy,Musical,Romance",7.1,0,13.176847143486714,0,0,0,0,0,93
tt0022397,skippy,1930,"Comedy,Drama,Family",6.3,1,13.534474352733596,0,0,0,0,0,85
tt0022495,traderhorn,1930,"Action,Adventure,Drama",6.1,0,13.534474352733596,0,0,0,0,0,122
tt0022879,afarewelltoarms,1932,"Drama,Romance,War",6.4,1,13.176847143486714,1,0,0,0,0,80
tt0022958,grandhotel,1931,"Drama,Romance",7.3,0,13.176847143486714,1,0,0,0,1,112
tt0023042,iamafugitivefromachaingang,1932,"Crime,Drama,Film-Noir",8.2,0,13.176847143486714,0,0,0,0,0,92
tt0023303,onehourwithyou,1931,"Comedy,Musical,Romance",7.0,0,13.176847143486714,0,0,0,0,0,78
tt0023458,shanghaiexpress,1931,"Adventure,Drama,Film-Noir",7.3,0,13.176847143486714,0,0,0,0,0,82
tt0023488,smilinthrough,1932,"Drama,Romance",6.9,0,13.176847143486714,2,0,0,0,0,98
tt0023876,cavalcade,1932,"Drama,Romance,War",5.8,1,13.981263103685288,0,0,0,0,1,112
tt0024034,42ndstreet,1932,"Comedy,Drama,Musical",7.3,0,13.176847143486714,1,0,0,0,0,89
tt0024240,ladyforaday,1932,"Comedy,Drama",7.4,0,13.176847143486714,0,0,0,0,0,96
tt0024264,littlewomen,1932,"Drama,Family,Romance",7.2,0,13.176847143486714,0,0,0,0,0,115
