tconst,film,year_film,averageRating,dir_won_before,budget,nb_actor_won_before,won_bafta,won_gg_drama,won_gg_comedy,winner,runtimeMinutes,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
tt0018379,7thheaven,1927,-0.04686073424364897,0,-0.8015530556949281,-0.6733845901952854,0,0,0,0,-0.5884337139694439,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0018578,wings,1927,-0.04686073424364897,0,-0.8015530556949281,-0.6733845901952854,0,0,0,1,0.6326353075070545,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0019257,thepatriot,1928,-2.4328531194828766,0,-0.9377157375662403,1.2905198709470507,0,0,0,0,-0.48069232972151754,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
tt0019304,theracket,1927,-1.5807129818974384,0,-0.8015530556949281,-0.6733845901952854,0,0,0,0,-1.522192377451472,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tt0019630,alibi,1928,-3.2849932570683147,0,-0.9377157375662403,-0.6733845901952854,0,0,0,0,-1.2707958142063107,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0019729,thebroadwaymelody,1928,-3.4554212845854018,0,-0.9377157375662403,-0.6733845901952854,0,0,0,1,-0.9475716614625317,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
tt0019823,disraeli,1929,-2.4328531194828766,0,-1.113259937057723,-0.6733845901952854,0,0,0,0,-1.3067096089556194,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
tt0019993,hollywoodrevue,1928,-3.1145652295512263,0,-0.9377157375662403,-0.6733845901952854,0,0,0,0,0.12984218101673164,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tt0020018,inoldarizona,1928,-3.4554212845854018,0,-0.9377157375662403,-0.6733845901952854,0,0,0,0,-1.1271406352090756,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
tt0020112,theloveparade,1929,-0.8990008718290872,0,-1.113259937057723,-0.6733845901952854,0,0,0,0,-0.6961750982173702,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
tt0020629,allquietonthewesternfront,1929,0.9757074308588762,1,-1.113259937057723,-0.6733845901952854,0,0,0,1,0.9199456655015248,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
tt0020686,thebighouse,1929,-0.7285728443120001,0,-1.113259937057723,-0.6733845901952854,0,0,0,0,-1.4144509932035458,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tt0020827,thedivorcee,1929,-1.4102849543803497,0,-1.113259937057723,-0.6733845901952854,0,0,0,0,-1.522192377451472,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0021622,arrowsmith,1931,-2.2624250919657882,0,-1.6142275469024407,-0.6733845901952854,0,0,0,0,-0.6602613034680614,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0021635,badgirl,1931,-1.9215690369316125,1,-1.6142275469024407,-0.6733845901952854,0,0,0,0,-1.3067096089556194,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0021730,thechamp,1931,-0.5581448167949116,0,-1.6142275469024407,-0.6733845901952854,0,0,0,0,-1.4503647879528545,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
tt0021746,cimarron,1930,-2.944137202034139,0,-1.396002521296602,-0.6733845901952854,0,0,0,1,-0.12155438222842979,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
tt0021826,eastlynne,1930,-3.1145652295512263,1,-1.396002521296602,-0.6733845901952854,0,0,0,0,-0.8757440719639141,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0021873,fivestarfinal,1931,-0.38771678927782455,0,-1.939170362198528,-0.6733845901952854,0,0,0,0,-1.3426234037049283,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0021890,thefrontpage,1930,-1.4102849543803497,1,-1.396002521296602,-0.6733845901952854,0,0,0,0,-0.9116578667132229,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0022074,thesmilinglieutenant,1931,-0.7285728443120001,0,-1.6142275469024407,-0.6733845901952854,0,0,0,0,-1.1989682247076932,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
tt0022397,skippy,1930,-2.091997064448701,1,-1.396002521296602,-0.6733845901952854,0,0,0,0,-1.4862785827021634,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0022495,traderhorn,1930,-2.4328531194828766,0,-1.396002521296602,-0.6733845901952854,0,0,0,0,-0.15746817697773857,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0022879,afarewelltoarms,1932,-1.9215690369316125,1,-1.6142275469024407,0.3085676403758826,0,0,0,0,-1.6658475564487072,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
tt0022958,grandhotel,1931,-0.38771678927782455,0,-1.6142275469024407,0.3085676403758826,0,0,0,1,-0.5166061244708263,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0023042,iamafugitivefromachaingang,1932,1.1461354583759633,0,-1.6142275469024407,-0.6733845901952854,0,0,0,0,-1.2348820194570018,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tt0023303,onehourwithyou,1931,-0.8990008718290872,0,-1.6142275469024407,-0.6733845901952854,0,0,0,0,-1.7376751459473248,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
tt0023458,shanghaiexpress,1931,-0.38771678927782455,0,-1.6142275469024407,-0.6733845901952854,0,0,0,0,-1.5940199669500896,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tt0023488,smilinthrough,1932,-1.0694288993461742,0,-1.6142275469024407,1.2905198709470507,0,0,0,0,-1.0193992509611491,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0023876,cavalcade,1932,-2.944137202034139,1,-1.123370897930591,-0.6733845901952854,0,0,0,1,-0.5166061244708263,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
