year_film,averageRating,dir_won_before,budget,nb_actor_won_before,won_bafta,won_gg_drama,won_gg_comedy,runtimeMinutes,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,true_winner,pred_winner
1930,-2.769395088556209,0,-1.147814011604587,-0.6715317874761784,0,0,0,-0.07384585051167566,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1930,-2.9324824511974428,1,-1.147814011604587,-0.6715317874761784,0,0,0,-0.7995723124367647,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1930,-1.3016088247850963,1,-1.147814011604587,-0.6715317874761784,0,0,0,-0.8341307153855785,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1930,-1.9539582753500355,1,-1.147814011604587,-0.6715317874761784,0,0,0,-1.3870651625665988,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1930,-2.280133000632505,0,-1.147814011604587,-0.6715317874761784,0,0,0,-0.10840425346048943,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1934,-0.9754340995026268,0,-1.0128370516819978,2.476273466318408,0,0,0,-0.5576634917950684,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1934,-1.1385214621438624,0,-1.0128370516819978,-0.6715317874761784,0,0,0,-0.8686891183343923,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1934,-3.0955698138386785,1,-1.0128370516819978,-0.6715317874761784,0,0,0,-0.9723643271808335,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1934,-0.15999728629645366,0,-1.0128370516819978,-0.6715317874761784,0,0,0,-0.6267802976926959,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1934,-2.1170456379912697,0,-1.0128370516819978,-0.6715317874761784,0,0,0,-1.3179483566689711,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1934,-1.627783550067566,0,-1.0128370516819978,0.37773663045535033,0,0,0,-1.2833899537201574,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1934,0.003090076344780414,0,-1.0128370516819978,-0.6715317874761784,0,0,0,-0.4885466858974409,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1934,0.9816142521921877,1,-1.7065655937827504,-0.6715317874761784,0,0,0,-0.6958971035903234,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1934,-3.0955698138386785,0,-1.0128370516819978,-0.6715317874761784,0,0,0,-1.4216235655154126,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
