tconst,film,year_film,genres,averageRating,dir_won_before,budget,nb_actor_won_before,won_bafta,won_gg_drama,won_gg_comedy,winner,runtimeMinutes,predicted_winner,true_winner
tt0435761,toystory3,2010,"Adventure,Animation,Comedy",8.3,0,200000000.0,2,0,0,0,0,103,0,0
tt0443272,lincoln,2012,"Biography,Drama,History",7.3,1,65000000.0,4,0,0,0,0,150,0,0
tt0454876,lifeofpi,2012,"Adventure,Drama,Fantasy",7.9,1,,0,0,0,0,0,127,0,0
tt0477302,extremelyloudincrediblyclose,2011,"Adventure,Drama,Mystery",6.9,0,,3,0,0,0,0,129,0,0
tt0478304,thetreeoflife,2011,"Drama,Fantasy",6.8,0,32000000.0,2,0,0,0,0,139,0,0
tt0790636,dallasbuyersclub,2013,"Biography,Drama",7.9,0,,0,0,0,0,0,117,0,0
tt0842926,thekidsareallright,2010,"Comedy,Drama,Romance",7.0,0,,0,0,0,1,0,106,0,0
tt0947798,blackswan,2010,"Drama,Thriller",8.0,0,13000000.0,0,0,0,0,0,108,0,0
tt0964517,thefighter,2010,"Action,Biography,Drama",7.8,0,,0,0,0,0,0,116,0,0
tt0970179,hugo,2011,"Adventure,Drama,Family",7.5,1,,1,0,0,0,0,126,0,0
tt0993846,thewolfofwallstreet,2013,"Biography,Comedy,Crime",8.2,1,100000000.0,1,0,0,0,0,180,0,0
tt1016150,allquietonthewesternfront,2022,"Drama,History,War",7.8,0,,0,1,0,0,0,148,1,0
tt1020072,selma,2014,"Biography,Drama,History",7.5,0,,0,0,0,0,0,128,0,0
tt1024648,argo,2012,"Biography,Drama,History",7.7,0,44500000.0,1,1,1,0,1,120,1,1
tt10272386,thefather,2020,"Drama,Mystery",8.2,0,20000000.0,2,0,0,0,0,97,0,0
tt10293406,thepowerofthedog,2021,"Drama,Western",6.8,0,39000000.0,0,1,1,0,0,126,1,0
tt1033575,thedescendants,2011,"Comedy,Drama",7.3,0,,1,0,1,0,0,115,0,0
tt10366460,coda,2021,"Comedy,Drama,Music",8.0,0,10000000.0,1,0,0,0,1,111,0,1
tt1045658,silverliningsplaybook,2012,"Comedy,Drama,Romance",7.7,0,21000000.0,2,0,0,0,0,122,0,0
tt10618286,mank,2020,"Biography,Drama",6.8,0,,1,0,0,0,0,131,0,0
tt10633456,minari,2020,Drama,7.4,0,2000000.0,0,0,0,0,0,115,0,0
tt1065073,boyhood,2014,Drama,7.9,0,4000000.0,0,1,1,0,0,165,1,0
